"idGame" "slugTeam" "namePlayer" "groupStartPosition" "idTeam" "idPlayer" "fgm" "fga" "pctFG" "fg3m" "fg3a" "pctFG3" "pctFT" "fg2m" "fg2a" "pctFG2" "cityTeam" "teamName" "minExact" "ftm" "fta" "oreb" "dreb" "treb" "ast" "stl" "blk" "tov" "pf" "pts" "pctTOVTeam" "ortg" "drtg" "netrtg" "ratioASTtoTOV" "pace" "possessions"
"21" 22100001 "MIL" "Thanasis Antetokounmpo" NA 1610612749 203648 2 3 0.667 0 0 0 1 2 3 0.666666666666667 "Milwaukee" "Thanasis" 12.4 2 2 1 3 4 1 0 1 0 1 6 0 130.8 92.9 37.9 0 104.52 26
"22" 22100001 "MIL" "Jordan Nwora" NA 1610612749 1629670 6 13 0.462 3 6 0.5 0 3 7 0.428571428571429 "Milwaukee" "Jordan" 26.4666666666667 0 0 0 6 6 1 1 1 1 3 15 6.7 115.5 103.4 12.1 1 106.1 58
"23" 22100001 "MIL" "Sandro Mamukelashvili" NA 1610612749 1630572 0 1 0 0 0 0 0 0 1 0 "Milwaukee" "Sandro" 7.03333333333333 0 0 0 1 1 1 0 0 0 0 0 0 164.3 93.3 71 0 98.96 14
"24" 22100001 "MIL" "Justin Robinson" NA 1610612749 1629620 1 2 0.5 1 2 0.5 0 0 0 0 "Milwaukee" "Justin" 4.01666666666667 0 0 0 0 0 0 0 0 0 0 3 0 166.7 40 126.7 0 113.53 9
"25" 22100001 "MIL" "Georgios Kalaitzakis" NA 1610612749 1630686 0 2 0 0 0 0 0 0 2 0 "Milwaukee" "Georgios" 1.26666666666667 0 0 2 0 2 0 0 0 0 0 0 0 100 0 100 0 75.79 2
"26" 22100009 "PHI" "Danny Green" "F" 1610612755 201980 0 1 0 0 1 0 0 0 0 0 "Philadelphia" "Danny" 18.5833333333333 0 0 0 0 0 0 0 0 0 3 0 0 124.3 94.6 29.7 0 95.57 37
"27" 22100009 "PHI" "Tobias Harris" "F" 1610612755 202699 8 16 0.5 0 2 0 0.8 8 14 0.571428571428571 "Philadelphia" "Tobias" 27.7333333333333 4 5 2 10 12 2 1 0 0 0 20 0 114.5 100 14.5 0 95.19 55
"28" 22100009 "PHI" "Joel Embiid" "C" 1610612755 203954 8 17 0.471 2 3 0.666666666666667 0.667 6 14 0.428571428571429 "Philadelphia" "Joel" 25.7 4 6 1 5 6 5 1 1 1 3 22 3.8 111.5 105.9 5.7 5 96.19 52
"29" 22100009 "PHI" "Seth Curry" "G" 1610612755 203552 4 5 0.8 2 3 0.666666666666667 0 2 2 1 "Philadelphia" "Seth" 27.5166666666667 0 0 0 2 2 2 0 0 2 0 10 22.2 118.2 103.6 14.5 1 95.95 55
"30" 22100009 "PHI" "Tyrese Maxey" "G" 1610612755 1630178 8 14 0.571 2 3 0.666666666666667 1 6 11 0.545454545454545 "Philadelphia" "Tyrese" 33.6666666666667 2 2 0 7 7 5 0 0 1 2 20 4.8 137.3 103 34.3 5 95.52 67
"31" 22100009 "PHI" "Georges Niang" NA 1610612755 1627777 4 5 0.8 3 4 0.75 0 1 1 1 "Philadelphia" "Georges" 18.2 0 0 0 0 0 1 0 1 0 1 11 0 130 82.9 47.1 0 106.81 40
"32" 22100009 "PHI" "Furkan Korkmaz" NA 1610612755 1627788 7 11 0.636 4 4 1 1 3 7 0.428571428571429 "Philadelphia" "Furkan" 20.1333333333333 4 4 0 0 0 5 1 0 1 0 22 5.3 125 71.7 53.3 5 107.28 44
"33" 22100009 "PHI" "Matisse Thybulle" NA 1610612755 1629680 1 3 0.333 0 1 0 0 1 2 0.5 "Philadelphia" "Matisse" 27.35 0 0 0 1 1 0 4 1 1 0 2 25 119 91.5 27.4 0 102.67 58
"34" 22100009 "PHI" "Isaiah Joe" NA 1610612755 1630198 0 3 0 0 2 0 0 0 1 0 "Philadelphia" "Isaiah" 12.6166666666667 0 0 0 0 0 0 0 0 2 0 0 40 71.4 96.4 -25 0 106.51 28
"35" 22100009 "PHI" "Andre Drummond" NA 1610612755 203083 2 4 0.5 0 0 0 0.667 2 4 0.5 "Philadelphia" "Andre" 19.05 2 3 2 15 17 3 2 2 4 2 6 33.3 129.3 72.1 57.2 0.75 105.83 41
"36" 22100009 "PHI" "Paul Reed" NA 1610612755 1630194 1 3 0.333 0 0 0 0 1 3 0.333333333333333 "Philadelphia" "Paul" 3.25 0 0 0 0 0 1 0 0 0 0 2 0 85.7 171.4 -85.7 0 103.38 7
"37" 22100009 "PHI" "Jaden Springer" NA 1610612755 1630531 0 0 0 0 0 0 0 0 0 0 "Philadelphia" "Jaden" 2.06666666666667 0 0 0 0 0 0 0 0 0 0 0 0 40 160 -120 0 116.13 5
"38" 22100009 "PHI" "Aaron Henry" NA 1610612755 1630565 0 1 0 0 1 0 0 0 0 0 "Philadelphia" "Aaron" 2.06666666666667 0 0 0 0 0 0 0 0 0 0 0 0 40 160 -120 0 116.13 5
"39" 22100009 "PHI" "Charles Bassey" NA 1610612755 1629646 1 2 0.5 0 1 0 0 1 1 1 "Philadelphia" "Charles" 2.06666666666667 0 0 1 1 2 0 0 0 0 0 2 0 40 160 -120 0 116.13 5
"40" 22100009 "NOP" "Josh Hart" "F" 1610612740 1628404 2 2 1 0 0 0 0.5 2 2 1 "New Orleans" "Josh" 10.1666666666667 1 2 0 2 2 1 0 0 0 1 5 0 130 133.3 -3.3 0 96.79 20
"41" 22100009 "NOP" "Brandon Ingram" "F" 1610612740 1627742 12 26 0.462 1 3 0.333333333333333 0 11 23 0.478260869565217 "New Orleans" "Brandon" 36.6166666666667 0 0 0 7 7 6 0 1 4 1 25 11.1 90.8 128.9 -38.2 1.5 99.63 76
"42" 22100009 "NOP" "Jonas Valanciunas" "C" 1610612740 202685 3 19 0.158 1 3 0.333333333333333 1 2 16 0.125 "New Orleans" "Jonas" 29.5833333333333 2 2 5 7 12 3 0 1 1 4 9 4.2 96.6 130 -33.4 3 96.54 59
"43" 22100009 "NOP" "Nickeil Alexander-Walker" "G" 1610612740 1629638 9 16 0.563 4 8 0.5 0.5 5 8 0.625 "New Orleans" "Nickeil" 34 1 2 0 5 5 1 1 1 1 2 23 5.6 102.9 128.6 -25.7 1 98.12 69
"44" 22100009 "NOP" "Devonte' Graham" "G" 1610612740 1628984 6 9 0.667 4 6 0.666666666666667 0.667 2 3 0.666666666666667 "New Orleans" "Devonte'" 29.15 2 3 0 1 1 5 1 1 3 0 18 16.7 98.3 127.9 -29.5 1.67 99.63 60
"45" 22100009 "NOP" "Garrett Temple" NA 1610612740 202066 0 1 0 0 1 0 0 0 0 0 "New Orleans" "Garrett" 15.1 0 0 0 1 1 1 0 0 0 1 0 0 60.6 115.6 -55 0 103.31 33
"46" 22100009 "NOP" "Trey Murphy III" NA 1610612740 1630530 2 7 0.286 2 5 0.4 0 0 2 0 "New Orleans" "Trey" 18.15 0 0 0 0 0 2 0 0 0 1 6 0 97.4 107.7 -10.3 0 103.14 39
"47" 22100009 "NOP" "Jaxson Hayes" NA 1610612740 1629637 2 4 0.5 0 0 0 0 2 4 0.5 "New Orleans" "Jaxson" 18.4166666666667 0 0 4 2 6 0 1 0 1 1 4 20 95.2 97.5 -2.3 0 106.86 42
"48" 22100009 "NOP" "Tomas Satoransky" NA 1610612740 203107 0 1 0 0 1 0 0 0 0 0 "New Orleans" "Tomas" 8.66666666666667 0 0 0 2 2 2 1 0 1 1 0 25 68.4 115.8 -47.4 2 105.21 19
"49" 22100009 "NOP" "Kira Lewis Jr." NA 1610612740 1630184 2 6 0.333 1 2 0.5 0 1 4 0.25 "New Orleans" "Kira" 16.7333333333333 0 0 1 3 4 5 1 0 1 1 5 8.3 105.9 100 5.9 5 98.96 34
"50" 22100009 "NOP" "Naji Marshall" NA 1610612740 1630230 1 2 0.5 0 1 0 0 1 1 1 "New Orleans" "Naji" 20.1666666666667 0 0 0 4 4 2 0 2 1 3 2 20 107.3 76.2 31.1 2 98.78 41
"51" 22100009 "NOP" "Herbert Jones" NA 1610612740 1630529 0 0 0 0 0 0 0 0 0 0 "New Orleans" "Herbert" 3.25 0 0 0 0 0 0 0 0 0 0 0 0 171.4 85.7 85.7 0 103.38 7
"52" 22100017 "CHA" "Gordon Hayward" "F" 1610612766 202330 6 12 0.5 4 7 0.571428571428571 1 2 5 0.4 "Charlotte" "Gordon" 34.5833333333333 2 2 1 0 1 9 0 1 4 3 18 15.4 126.3 100 26.3 2.25 111.04 80
"53" 22100017 "CHA" "Miles Bridges" "F" 1610612766 1628970 13 24 0.542 4 9 0.444444444444444 0 9 15 0.6 "Charlotte" "Miles" 34.8 0 0 3 4 7 0 3 0 1 1 30 4 112.8 101.3 11.6 0 108.28 78
"54" 22100017 "CHA" "Mason Plumlee" "C" 1610612766 203486 3 4 0.75 0 0 0 0.5 3 4 0.75 "Charlotte" "Mason" 22.1666666666667 1 2 2 12 14 1 1 0 3 2 7 33.3 122.4 105.8 16.7 0.33 109.39 49
"55" 22100017 "CHA" "Terry Rozier" "G" 1610612766 1626179 1 5 0.2 0 2 0 1 1 3 0.333333333333333 "Charlotte" "Terry" 22.8333333333333 4 4 0 2 2 2 1 0 3 2 6 25 102 106.3 -4.2 0.67 101.96 49
"56" 22100017 "CHA" "LaMelo Ball" "G" 1610612766 1630163 8 12 0.667 1 3 0.333333333333333 0 7 9 0.777777777777778 "Charlotte" "LaMelo" 28.9 0 0 0 3 3 6 5 0 3 3 17 14.3 117.2 112.5 4.7 2 106.3 64
"57" 22100017 "CHA" "Kelly Oubre Jr." NA 1610612766 1626162 9 13 0.692 4 7 0.571428571428571 1 5 6 0.833333333333333 "Charlotte" "Kelly" 27.0833333333333 3 3 0 3 3 1 1 0 0 2 25 0 115.5 101.7 13.9 0 104.57 58
"58" 22100017 "CHA" "P.J. Washington" NA 1610612766 1629023 3 8 0.375 0 2 0 1 3 6 0.5 "Charlotte" "P.J." 24.2833333333333 2 2 2 3 5 3 0 0 1 1 8 7.7 115.1 94.3 20.8 3 104.76 53
"59" 22100017 "CHA" "Ish Smith" NA 1610612766 202397 1 5 0.2 0 0 0 0 1 5 0.2 "Charlotte" "Ish" 17.9333333333333 0 2 1 1 2 8 0 0 0 0 2 0 117.1 89.7 27.3 0 107.1 41
"60" 22100017 "CHA" "Cody Martin" NA 1610612766 1628998 4 8 0.5 0 2 0 1 4 6 0.666666666666667 "Charlotte" "Cody" 21.6 2 2 2 6 8 2 2 0 1 2 10 8.3 130 104.1 25.9 2 109.99 50
